,precision,recall,f1-score,support
0,0.9338654503990877,0.8941048034934498,0.913552704963748,916.0
1,0.8991683991683992,0.9371614301191766,0.9177718832891246,923.0
accuracy,0.9157150625339858,0.9157150625339858,0.9157150625339858,0.9157150625339858
macro avg,0.9165169247837435,0.9156331168063132,0.9156622941264363,1839.0
weighted avg,0.9164508890690575,0.9157150625339858,0.9156703241014982,1839.0
