,precision,recall,f1-score,support
0,0.9011606140022463,0.8797514619883041,0.8903273534307379,2736.0
1,0.8841141246917928,0.9048305695746215,0.8943523962230535,2774.0
accuracy,0.8923774954627949,0.8923774954627949,0.8923774954627949,0.8923774954627949
macro avg,0.8926373693470195,0.8922910157814627,0.8923398748268957,5510.0
weighted avg,0.8925785883493973,0.8923774954627949,0.8923537542848002,5510.0
