,precision,recall,f1-score,support
0,0.8881720430107527,0.892972972972973,0.8905660377358491,925.0
1,0.8908489525909592,0.8859649122807017,0.8884002199010445,912.0
accuracy,0.889493739793141,0.889493739793141,0.889493739793141,0.889493739793141
macro avg,0.8895104978008559,0.8894689426268374,0.8894831288184468,1837.0
weighted avg,0.8895010258834518,0.889493739793141,0.8894907923001704,1837.0
