,precision,recall,f1-score,support
0,0.9393428812131424,0.9453158117846545,0.9423198816818086,2359.0
1,0.8618843683083511,0.8482613277133825,0.8550185873605948,949.0
accuracy,0.9174727932285369,0.9174727932285369,0.9174727932285369,0.9174727932285369
macro avg,0.9006136247607468,0.8967885697490185,0.8986692345212017,3308.0
weighted avg,0.9171215605521246,0.9174727932285369,0.9172748610316176,3308.0
