,precision,recall,f1-score,support
0,0.9117203977101537,0.9305043050430505,0.9210165880383504,3252.0
1,0.9158600148920327,0.8935706501997821,0.9045780474351902,2753.0
accuracy,0.9135720233139051,0.9135720233139051,0.9135720233139051,0.9135720233139051
macro avg,0.9137902063010932,0.9120374776214163,0.9127973177367703,6005.0
weighted avg,0.9136182105497395,0.9135720233139051,0.9134803178833962,6005.0
