,precision,recall,f1-score,support
0,0.9005952380952381,0.9319371727748691,0.9159981837445133,3247.0
1,0.9164461247637051,0.8788977519941987,0.8972792892837312,2758.0
accuracy,0.9075770191507078,0.9075770191507078,0.9075770191507078,0.9075770191507078
macro avg,0.9085206814294716,0.9054174623845339,0.9066387365141222,6005.0
weighted avg,0.9078752956192403,0.9075770191507078,0.9074008963302189,6005.0
