,precision,recall,f1-score,support
0,0.9280089988751407,0.9443288241415192,0.9360977874052298,9610.0
1,0.9295403661266957,0.9093017263591858,0.9193096711169001,7762.0
accuracy,0.928678332949574,0.928678332949574,0.928678332949574,0.928678332949574
macro avg,0.9287746825009182,0.9268152752503525,0.9277037292610649,17372.0
weighted avg,0.9286932305471743,0.928678332949574,0.9285966730470664,17372.0
