,precision,recall,f1-score,support
0,0.937603305785124,0.9594080338266385,0.9483803552769071,2365.0
1,0.8918918918918919,0.8398727465535525,0.8651010376843254,943.0
accuracy,0.9253325272067715,0.9253325272067715,0.9253325272067715,0.9253325272067715
macro avg,0.9147475988385079,0.8996403901900956,0.9067406964806163,3308.0
weighted avg,0.924572512767797,0.9253325272067715,0.9246402112352491,3308.0
